,Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
14605,ARHGEF4,28,0,0,5,27,45,31,17,71,96
14606,FAM168B,898,464,692,1372,1670,1871,1708,2063,1054,2176
14607,PLEKHB2,2819,2678,2285,3063,3957,4362,3691,4497,3908,5126
14608,POTEE,11,19,22,3,3,5,0,5,4,4
14609,LOC440910,0,0,0,0,0,0,0,0,0,0
14610,WTH3DI,16,22,23,32,29,55,60,34,84,59
14611,LINC01120,0,0,0,0,0,0,0,0,0,0
14612,LOC401010,0,0,0,0,0,0,0,0,0,1
14613,TUBA3D,2,0,0,10,2,5,3,2,9,5
14614,MZT2A,9,95,111,102,42,145,119,83,177,119
14615,MIR4784,0,0,0,0,1,4,2,1,1,2
14616,LOC150776,110,189,135,329,414,472,484,343,329,519
14617,CCDC74A,0,0,0,2,1,0,1,1,0,1
14618,POTEKP,0,0,0,0,0,0,0,0,0,0
14619,LINC01087,0,0,0,0,0,0,0,0,0,0
14620,C2orf27A,0,0,0,0,0,0,0,0,0,0
14621,C2orf27B,0,0,0,0,1,0,0,0,0,0
14622,ANKRD30BL,0,0,0,0,0,0,0,0,0,0
14623,MIR663B,0,0,0,0,0,0,0,0,0,0
14624,ZNF806,0,0,0,1,0,0,0,0,0,0
14625,GPR39,0,0,1,0,0,0,0,0,0,0
14626,LYPD1,0,0,0,3,2,7,5,5,0,3
14627,NCKAP5,0,0,0,0,0,0,0,0,0,0
14628,LOC101928161,0,0,0,0,0,0,0,0,0,0
14629,MIR3679,7,1,3,1,0,1,0,1,0,1
14630,MGAT5,329,231,172,718,1066,1542,1019,2104,765,1696
14631,TMEM163,4,0,1,6,1,0,0,2,1,5
14632,ACMSD,13,0,2,4,4,3,1,7,3,0
14633,MIR5590,0,0,0,0,0,0,0,0,0,0
14634,CCNT2-AS1,18,4,2,21,27,18,21,30,16,10
14635,CCNT2,1416,851,1438,2335,2952,2348,1908,2215,1551,2325
14636,MAP3K19,5,19,0,1,0,3,2,2,2,1
14637,RAB3GAP1,265,326,259,668,724,718,828,839,430,831
14638,ZRANB3,23,0,36,48,43,32,33,44,44,57
14639,R3HDM1,42,12,7,150,179,244,154,159,120,334
14640,MIR128-1,1,0,0,0,0,0,0,0,0,0
14641,UBXN4,2813,3083,2843,5859,5737,5244,4877,5261,4854,5654
14642,LCT,0,0,0,2,3,2,0,1,0,0
14643,LOC100507600,0,0,0,0,0,0,0,0,0,0
14644,MCM6,62,64,34,39,50,28,29,48,25,28
14645,DARS,407,307,483,495,353,377,390,483,440,388
14646,DARS-AS1,64,54,53,68,58,66,150,49,78,37
14647,CXCR4,22348,28168,23479,28437,41229,32372,29369,21971,34306,43268
14648,THSD7B,0,0,1,0,0,0,0,0,0,0
14649,LOC101928273,0,0,0,0,0,0,0,0,0,0
14650,HNMT,30,42,81,8,52,27,3,3,6,15
14651,SPOPL,3463,2176,2628,8121,7567,6868,7134,5402,5069,7091
14652,NXPH2,3,0,0,0,0,0,0,0,0,0
14653,YY1P2,0,0,0,0,0,0,0,0,0,0
14654,LRP1B,0,0,0,0,0,0,0,0,0,0
14655,MIR7157,0,0,0,0,0,0,0,0,0,0
14656,KYNU,79,95,1158,747,59,36,10,12,20,14
14657,ARHGAP15,3594,5505,6287,6334,4016,4448,6177,3875,5424,4102
14658,LOC101928386,13,0,1,12,7,14,9,11,5,3
14659,GTDC1,716,815,782,1080,1300,1484,1347,1417,1413,1457
14660,ZEB2,2118,1194,2343,4215,5605,3499,2844,4306,2603,4122
14661,ZEB2-AS1,19,15,10,2,6,6,0,1,4,3
14662,LINC01412,0,0,0,2,2,1,0,1,4,0
14663,TEX41,0,0,0,1,0,0,0,0,0,1
14664,PABPC1P2,3,2,3,1,2,1,1,0,0,1
14665,ACVR2A,1,0,0,14,33,22,9,4,11,14
14666,ORC4,2097,1720,1994,2831,2496,2360,2570,1954,2116,2586
14667,MBD5,133,334,166,254,300,348,227,353,212,338
14668,EPC2,371,368,243,1628,1480,1775,1821,1919,962,1704
14669,KIF5C,0,0,0,1,10,3,2,1,2,11
14670,LYPD6B,0,0,27,7,4,9,3,12,4,1
14671,LYPD6,0,0,0,0,0,0,0,0,0,0
14672,MMADHC,3147,3533,4138,2086,2165,2076,2690,2061,2992,2084
14673,LOC101929231,0,0,2,7,11,6,12,16,6,12
14674,RND3,0,0,0,0,0,0,0,0,0,0
14675,LOC101929260,0,0,0,0,0,0,0,0,0,0
14676,LOC101929282,0,0,0,0,0,0,0,0,0,0
14677,RBM43,82,4,50,199,244,119,257,188,199,208
14678,NMI,15934,9892,23872,8886,10006,8120,8632,8132,11345,7084
14679,LOC101929319,40,0,15,51,41,13,29,17,36,24
14680,TNFAIP6,8387,3836,9672,3630,3266,1192,2617,1992,2883,1009
14681,MIR4773-1,0,0,0,0,0,0,0,0,0,0
14682,MIR4773-2,0,0,0,0,0,0,0,0,0,0
14683,RIF1,633,266,393,765,798,1007,790,916,507,987
14684,NEB,111,54,49,108,78,93,56,79,33,65
14685,ARL5A,480,558,591,368,384,501,461,396,326,352
14686,CACNB4,379,112,127,227,1032,945,448,763,223,1044
14687,STAM2,1989,1439,2821,2079,2576,2511,2246,2575,2003,2358
14688,FMNL2,40,73,3,46,202,86,108,83,42,63
14689,PRPF40A,2569,2038,1984,3646,4557,3592,4261,3441,3233,4146
14690,ARL6IP6,1053,1875,2665,981,945,1177,1274,826,1113,1110
14691,RPRM,0,0,0,0,0,0,0,0,0,0
14692,GALNT13,0,0,0,0,0,0,0,0,0,0
14693,LOC100144595,0,0,0,0,0,0,0,0,0,0
14694,KCNJ3,0,0,0,0,0,0,0,0,0,0
14695,LOC101929378,0,0,0,0,0,0,0,0,0,0
14696,NR4A2,1191,674,1182,1292,2358,994,1568,254,332,1474
14697,GPD2,407,262,502,419,502,827,917,680,382,645
14698,GALNT5,5,0,0,0,0,0,0,0,1,0
14699,ERMN,311,211,177,525,436,257,141,259,187,303
14700,FAM133DP,190,116,111,97,121,111,156,56,180,150
14701,CYTIP,9637,7802,8483,15004,11429,11785,12546,9541,10832,12347
14702,ACVR1C,0,0,0,2,1,0,0,0,1,4
14703,ACVR1,38,1,1,76,120,105,78,61,81,134
14704,UPP2,0,0,0,0,0,3,0,0,1,0
14705,CCDC148-AS1,0,0,0,0,0,0,0,0,0,0
14706,CCDC148,17,0,19,10,12,12,7,3,3,11
14707,PKP4,500,131,120,963,635,1164,1060,335,333,1450
14708,DAPL1,0,0,0,0,0,0,0,1,0,0
14709,TANC1,0,0,0,1,0,1,0,2,0,0
14710,MIR6888,0,0,0,0,0,0,0,0,0,0
14711,WDSUB1,34,18,16,25,52,46,30,65,51,46
14712,BAZ2B,7479,4402,6146,10422,11535,11403,13951,11897,11305,7016
14713,LOC643072,780,876,1152,719,1507,2007,2003,2540,1800,728
14714,MARCH7,6907,5826,7256,11137,12117,12450,13750,11227,10420,11649
14715,LY75-CD302,0,0,1,2,2,2,4,0,1,2
14716,CD302,4,1,4,43,27,66,75,82,34,71
14717,LY75,771,897,619,1219,1754,1939,1207,1103,2024,2588
14718,PLA2R1,0,0,0,1,0,0,0,1,0,1
14719,ITGB6,0,0,0,0,0,0,0,0,0,0
14720,LOC100505984,0,0,0,2,8,0,1,0,3,0
14721,RBMS1,4155,3824,3315,7903,8242,7192,8967,6644,7992,7280
14722,MIR4785,0,5,1,18,17,43,44,41,16,29
14723,TANK,4486,4036,4842,5189,5391,4957,4652,4696,5797,4482
14724,LOC101929512,2,16,0,13,12,3,0,7,2,1
14725,LOC100996579,0,0,0,1,3,0,2,0,3,1
14726,PSMD14,69,0,77,11,17,22,21,9,9,22
14727,TBR1,0,0,0,0,0,0,0,0,0,0
14728,AHCTF1P1,64,72,50,449,329,355,342,356,138,305
14729,SLC4A10,5,0,0,4,1,3,0,0,0,4
14730,DPP4,12,0,12,24,19,12,4,4,2,14
14731,LOC101929532,7,0,0,4,2,0,0,0,0,0
14732,GCG,0,0,0,0,0,0,0,0,0,0
14733,FAP,7,26,16,3,12,3,9,1,14,3
14734,IFIH1,4003,1116,2585,3194,3886,1751,2368,2201,2407,1852
14735,GCA,40284,44519,42155,52272,40123,40695,50051,37355,48145,35151
14736,KCNH7,240,290,255,455,344,251,409,354,404,196
14737,LOC101929570,0,0,0,0,0,0,0,0,0,0
14738,FIGN,2,0,0,0,1,5,2,1,0,0
14739,GRB14,1,77,24,4,9,0,0,0,0,1
14740,COBLL1,14,0,0,3,8,3,3,0,1,7
14741,SNORA70F,0,0,0,0,0,0,0,0,0,0
14742,LOC101929633,0,0,0,0,1,0,0,0,0,0
14743,SLC38A11,0,0,0,0,0,0,0,0,1,0
