"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKR1B15",64.2930282553588,4.47750185487188,0.875982785388082,5.11140393345542,3.19773424040515e-07,0.000228971674805358
"S100A7",20773.388581753,5.2527636350517,1.03292700895009,5.0853192815539,3.67008143349572e-07,0.000232471427416311
"LRRC55",83.2073064789694,4.37065961361566,0.85846138226315,5.09127108559426,3.55671090442701e-07,0.000232471427416311
"DDX60",1441.1935988813,1.46690343848882,0.288456175383566,5.0853598004558,3.66929796272492e-07,0.000232471427416311
"FOSL1",112.54912815437,2.13677381375835,0.422915434172658,5.05248482581036,4.36099013275879e-07,0.00026600424628298
"MPZL2",2621.44099920893,1.74583344269727,0.348577548059388,5.00845063721609,5.48699438001919e-07,0.000322733251587629
"OAS1",1248.6153932419,2.39022882959965,0.488188999002563,4.89611366598431,9.77505389869178e-07,0.000534112367010182
"SLC7A11",226.723883976627,1.71599223332807,0.350876757011794,4.89058394161568,1.00537272313532e-06,0.000534112367010182
"CXCR6",42.676076147522,2.95787978161709,0.607029023053945,4.87271558571629,1.10074634272137e-06,0.000547391244735695
"TMPRSS11A",35.0307657527299,6.40734263630631,1.31768396659546,4.86257919101887,1.15865999757717e-06,0.000547391244735695
"EPGN",52.0767576974803,2.98525808684128,0.61890160113262,4.82347772469502,1.41076528974235e-06,0.000645385932132411
"LCN2",1334.7521218804,2.56818133326847,0.534698534847251,4.80304539080536,1.5627044227704e-06,0.000695572409151506
"PRKCQ",109.359369956274,2.40300298019505,0.511485617775828,4.69808513999748,2.62611964378428e-06,0.00113814643193377
"CLDN17",22.6124335031716,4.50215352629544,0.95965784446587,4.69141533334859,2.71321548929763e-06,0.00114574220239084
"KLHDC7A",13.981100636092,2.71660457827363,0.580874219285058,4.67675184761555,2.91454596256943e-06,0.0011999914364389
"SAA2",14.9556760223534,3.65733697027988,0.785827772004792,4.65412028000656,3.25366840422724e-06,0.00125365427519872
"RND1",47.0006422161472,3.30408645754386,0.708633662856513,4.66261572195855,3.12215417974419e-06,0.00125365427519872
"MFSD2B",29.9018918176175,2.39966002570496,0.515736085109948,4.6528837034806,3.27324876030998e-06,0.00125365427519872
"PRSS27",456.63804756359,3.04205723211567,0.655772408688466,4.63889177374775,3.50282413026824e-06,0.00131109115003154
"TRIM14",952.441224118316,1.2581115189645,0.272636618235249,4.61460946481855,3.93835161477512e-06,0.00141001549442894
"OR2W3",6.37642969223755,2.34319007237266,0.510626748948195,4.58885100946872,4.45692380721869e-06,0.00156172506768265
"IFI44",1689.28801090897,2.49498143955732,0.545682887629281,4.57221858357472,4.82587123187067e-06,0.00160681150859672
"GJB2",14868.0222754535,3.83222787214507,0.840819740223986,4.55772823688012,5.17098852119898e-06,0.00160681150859672
"CCL18",126.013638169664,3.94896690168697,0.866012916378048,4.5599399581739,5.11682486403817e-06,0.00160681150859672
"AURKA",142.639677019857,1.67192217328793,0.366178174822681,4.56587062868382,4.97425485490921e-06,0.00160681150859672
"RTP4",182.659123773321,2.43954871446655,0.534409823340218,4.5649398793208,4.99637507451039e-06,0.00160681150859672
