Names	total	elements
		TXNDC12
		SGSM3
		C3orf70
		FRMD4A
		ASIC3
		ZNF223
		TMEM259
		CPO
		ART4
		ZNF839
		OIP5
		WDR38
		C22orf23
		C19orf44
		MAPK8IP2
		GTSE1
		RPLP2
		FGF22
		BAIAP2L2
		CHIT1
		PLOD2
		KLF9
		FIGN
		SPNS1
		RPL27
		PI3
		RUNDC1
		NLRP9
		RPL24
		EPN1
		CEMP1
		E2F7
		TMEM178A
		PCSK9
		NUF2
		PPP1R3F
		RAVER1
		LZTS3
		RGS18
		LSMEM2
		PCYT1B
		CTSF
		RAB4B
		PDXP
		MBD2
		RPL36A-HNRNPH2
		MBLAC1
		PLA2G10
		ARL8A
		GPT
		CHD1L
		APOM
		TREML2
		ELL3
		RHBDL1
		NPHP3
		FAM217A
		LRRC39
		GLTPD2
		SNURF
		TESK1
		MMP1
		TBC1D3
		NRTN
		UPF1
		POLD4
		CTDP1
		COLEC12
		CDCA5
		MEGF6
		SERINC4
		NPIPA3
		UBE2T
		NRROS
		CHMP4C
		CD68
		CCZ1B
		BCL2A1
		CCER2
		ANGPTL1
		XKR3
		UBE2QL1
		GREB1L
		SLC22A3
		ZNF215
		DAAM2
		FN3K
		MS4A3
		LINGO3
		AJAP1
		PCSK1N
		PABPN1
		FBRS
		CACNA2D2
		FKBP8
		FMNL1
		KIF23
		DEPDC1
		COX6A1
		MMP11
		EEF1A2
		BEST3
		CABP7
		KCNH1
		QSOX2
		NPIPB9
		XCL1
		YBX1
		LRFN4
		AK1
		ACSS3
		SPEG
		RAB24
		ZNF695
		NPAS2
		C4B
		DNAJB13
		EMCN
		CGREF1
		DOC2A
		DIAPH3
		VIL1
		PDCD6
		MDGA1
		GGH
		GGT1
		ADARB1
		NEDD8-MDP1
		AMPH
		AP1S3
		DBP
		COL5A3
		WDTC1
		SRCAP
		PPP1R13L
		GOLGA7B
		CDRT4
		CITED2
		BMF
		EGFL8
		TMEM102
		SIRT7
		INO80B
		CCDC103
		SPIN2A
		RBM34
		ANKUB1
		MKNK2
		U2AF2
		VSTM2B
		ZDHHC1
		BGLAP
		ZMYND19
		PRKCZ
		CENPE
		LIMS3
		CCR6
		AMY1C
		MAF1
		KIAA0408
		F13A1
		SHE
		IFIT1B
		AMY1A
		KRT72
		PHC1
		TUBB2B
		GPR21
		CXCR1
		UNC119B
		PLCH1
		RNF31
		NAMPT
		FAM184B
		MMP8
		ESAM
		WBP2NL
		ACY1
		ELFN2
		CNTD1
		RFPL3
		CBX4
		MZT2B
		OCM2
		C17orf49
		SMKR1
		SH3TC2
		TEDDM1
		AMFR
		CA4
		FAM171B
		ATP9A
		HSD17B3
		KRTCAP3
		TRIM34
		RNF126
		GPSM1
		HIC1
		PPP1R14B
		SBF1
		GP1BB
		C1orf50
		GNG3
		SLC8A2
		TRIM6-TRIM34
		CYP27B1
		OLFM4
		RAD9B
		ATP13A2
		NAGLU
		PSD
		SPI1
		GYS2
		TRIM73
		MMP14
		NETO1
		PPP2R5B
		TAP2
		YRDC
		EFHD2
		MAP3K15
		MYEOV
		FXR2
		NRL
		EEF1D
		MYLK
		CYP4F2
		TFAP4
		PLGLB2
		PACS1
		OR2H2
		NUTM2A
		TRIM66
		TMEM203
		SNX32
		ACSBG1
		CBR3
		CCNB2
		EMC10
		GCSAML
		GTF2IRD2B
		HOXC4
		LCN10
		SAMD11
		PRICKLE4
		AGAP6
		CEACAM5
		ASPDH
		MXRA7
		LRRTM2
		SAPCD1
		UPB1
		LAT
		REXO4
		KCNA3
		IQCJ-SCHIP1
		SOGA3
		PDGFA
		ANKHD1
		GPRIN1
		ARMC9
		EML6
		ZNRF3
		BRD7
		DEFA1
		SRRM5
		TAX1BP3
		RGS11
		MARK2
		ENPP7
		ATP6V0C
		SLC22A31
		CTSE
		SKI
		RPL28
		NPIPA8
		CAPN11
		FBXL22
		D2HGDH
		TNKS1BP1
		RPL18A
		ARHGEF4
		DBNDD1
		C2CD4D
		PAOX
		PDE5A
		SCARA3
		TACSTD2
		SULT1A3
		EMP3
		C1orf167
		FOXI1
		NRGN
		C11orf80
		BCKDHA
		PLEKHH1
		ZNF865
		THBS1
		JADE2
		ACSL1
		ASMTL
		PIK3R2
		PLEKHG5
		MAP2K7
		C19orf73
		FAM156A
		FCGR3B
		LRRC26
		CDC45
		MTFP1
		RASL11B
		RGS13
		HLA-G
		FAM184A
		GPER1
		SART1
		ABHD8
		SPTA1
		SHB
		PRX
		SLC5A10
		TRIOBP
		S100A2
		GCKR
		PPP1R9B
		TRPC6
		NKX6-2
		ARPC1B
		PIGY
		GLDC
		DRD4
		ARL5C
		DLGAP3
		CDAN1
		TMEM74B
		SOCS1
		MCM4
		PKHD1L1
		FZD8
		ZNF853
		P2RX2
		GALNT14
		TRIM28
		B3GALT6
		ZNF688
		CETP
		C4orf51
		NDUFA7
		SLC15A3
		GRIK3
		ADIRF
		CHCHD10
		INHBE
		CCDC85C
		MESP1
		TMEM200B
		HBB
		HEY1
		MTA1
		SBK1
		NABP1
		C1orf105
		GOLGA6L4
		CCDC96
		RBFOX2
		PLIN5
		LRP12
		IL1RN
		SNX22
		DLGAP5
		KRBOX1
		CCZ1
		DNAJB2
		CDK11B
		TFPI
		MECOM
		PGA5
		RAD51AP1
		THRA
		OAZ3
		BBS5
		PTGES2
		TMEM108
		TMUB1
		NACC1
		EMC6
