"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"UCP1",1.20949405092174,-3.78199113406235,0.921206603462072,-4.10547549252133,4.03484061440311e-05,0.000156266533831355
"SLC22A16",62.6148799440344,1.25512703633925,0.305991617091904,4.10183471125053,4.09887041162621e-05,0.000158604965976861
"VEGFA",244.616290613323,-1.86373493526833,0.454393483298237,-4.10158816922355,4.10324097962597e-05,0.000158696215622023
"RASAL1",14.3584230640987,-2.65100172478635,0.646405432309836,-4.10114394508316,4.11112711697247e-05,0.000158930037550031
"ZMYND15",41.5062690355187,-1.30153225163253,0.317394084478821,-4.10068213391475,4.11934071581664e-05,0.000159201768610292
"SOCS1",75.8671336139776,-1.91237924016441,0.467425943350521,-4.09129888353314,4.28963858790466e-05,0.000165297287584736
"LYPD2",30.6454778153749,-1.56437264789207,0.382789694990899,-4.08676792599984,4.37424277513437e-05,0.000168351774156709
"GPRIN1",4.3437461733386,-3.10846588233332,0.761593740319682,-4.08152761474711,4.47406605731114e-05,0.000171900048370064
"VIPR2",13.1512066623135,-1.55043612174285,0.380089208706887,-4.07913743991216,4.52031079078296e-05,0.000173634539191985
"FAM167B",2.47599318271959,-2.48550941196253,0.609444221360773,-4.07832140308569,4.53620288719618e-05,0.000174075406172404
"PRRT1",5.63431615565758,-2.6942499371537,0.660756273080302,-4.07752456831577,4.55177215020152e-05,0.000174630382760833
"FBXO46",134.16342478232,-1.34817674803686,0.33064735586604,-4.07738554117778,4.55449377249949e-05,0.000174692304912115
"B3GALT6",233.646750936332,-1.78684903233767,0.438271489668959,-4.07703689256021,4.56132577517121e-05,0.000174911816498907
"INO80B",56.2207873875478,-2.83888663065691,0.696472025399513,-4.0760957039566,4.5798175599267e-05,0.000175535559064797
"GNAT2",0.86803182418726,-3.88985901374748,0.954785865787185,-4.07406430397924,4.61997161669901e-05,0.000176988565311092
"OTUD7A",20.2954963357058,-1.80166587932942,0.442670349007454,-4.0699944854429,4.70142505785087e-05,0.000179846897920019
"WNT10B",55.2132550001355,-1.2753132364915,0.313395522088341,-4.06934096566959,4.71463083243212e-05,0.000180308335327642
"NFIB",48.2802647658733,1.87043552020886,0.45995172758727,4.06659092253103,4.77058775466921e-05,0.000182271584463766
