Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
HPSE2,0,0,0,0,0,0,1,0,0,0
CNNM1,0,0,0,0,0,0,0,0,0,0
GOT1,3,1,10,13,17,9,10,12,8,19
NKX2-3,0,0,0,1,0,0,0,0,0,0
SLC25A28,1212,1102,517,1380,1996,1644,1785,1077,1829,1993
ENTPD7,17,9,6,81,76,91,73,92,64,121
COX15,581,522,577,529,642,765,669,894,788,772
CUTC,1216,1237,1283,488,517,506,613,525,595,598
ABCC2,105,165,89,279,221,208,197,215,194,203
DNMBP,87,76,103,202,51,336,233,352,241,394
CPN1,0,0,0,0,0,0,0,0,0,0
ERLIN1,486,738,672,1342,941,860,844,1254,1245,754
CHUK,774,510,919,1749,1650,1648,1514,1920,1315,1673
CWF19L1,602,578,804,757,675,960,787,911,988,986
BLOC1S2,2639,3620,3634,1937,1863,2161,2155,1983,2481,2015
PKD2L1,30,0,20,1,2,7,2,1,1,2
SCD,24,1,4,14,61,38,27,16,15,62
WNT8B,0,0,0,1,2,3,1,2,0,2
SEC31B,106,43,67,139,260,145,118,114,73,142
NDUFB8,1671,2699,2852,220,260,349,309,256,327,416
HIF1AN,892,863,1093,1232,1834,1500,1503,1590,958,1648
PAX2,0,0,0,5,14,10,14,5,10,16
SLF2,316,320,193,532,523,456,510,512,265,579
SEMA4G,0,0,0,9,10,8,4,5,4,11
MRPL43,101,212,119,127,154,230,153,178,291,288
LZTS2,0,0,1,15,20,25,16,19,9,24
PDZD7,0,0,0,0,1,1,1,1,0,1
SFXN3,81,176,30,280,677,427,323,353,468,597
KAZALD1,0,0,0,1,0,0,0,0,1,1
TLX1,0,0,0,0,0,0,0,0,0,0
LBX1,0,0,0,0,0,0,0,0,0,0
BTRC,20,31,39,57,101,99,80,117,62,165
POLL,21,1,35,43,73,107,81,67,75,130
DPCD,7,0,33,2,5,4,2,0,1,2
FBXW4,79,175,85,116,137,165,203,134,178,247
FGF8,10,1,3,23,18,11,14,7,27,10
NPM3,1,0,3,20,45,22,17,23,37,17
KCNIP2,0,19,0,7,25,26,13,24,14,29
HPS6,82,139,267,221,361,547,597,527,747,706
LDB1,548,1128,336,4275,4355,6091,4658,6276,3625,6047
PPRC1,25,31,3,60,93,67,57,64,26,94
NOLC1,75,77,154,121,204,207,153,132,78,235
ELOVL3,0,0,21,3,3,0,0,2,4,5
PITX3,0,0,0,0,0,0,0,0,0,0
GBF1,467,364,320,1594,1997,2306,1792,2298,1393,2509
NFKB2,1467,1135,669,7776,7443,7178,7650,7375,9329,7473
PSD,69,46,21,61,63,39,31,27,37,43
FBXL15,188,664,250,101,138,256,168,214,293,317
CUEDC2,558,709,744,247,317,412,350,317,415,514
C10orf95,0,0,0,1,1,6,3,3,3,2
ACTR1A,1748,3088,2068,2334,2588,3661,4326,3771,3447,3644
SUFU,109,323,62,302,359,451,491,456,283,690
TRIM8,1466,1932,748,7477,6009,8958,11479,8070,7148,9334
ARL3,1075,1218,929,513,389,519,605,462,519,614
SFXN2,0,0,0,5,7,2,2,4,4,5
WBP1L,2764,2269,2738,3428,4308,5260,5222,5267,3377,5593
CYP17A1,33,19,4,16,30,24,24,17,22,22
AS3MT,0,0,0,4,2,8,5,6,2,8
CNNM2,0,81,37,43,47,39,52,19,17,37
NT5C2,6039,6092,4941,12149,9998,11759,11323,9866,8829,11115
RPEL1,0,0,0,0,0,0,0,0,0,0
INA,0,0,0,4,3,4,0,1,3,1
PCGF6,28,0,47,12,27,13,15,25,10,22
TAF5,127,167,104,163,207,213,213,154,134,303
PDCD11,24,2,18,61,79,116,71,86,39,120
CALHM2,9,28,15,25,58,53,2,4,14,60
CALHM1,0,0,0,0,0,0,0,0,0,0
CALHM3,0,0,0,0,0,0,0,0,0,0
NEURL1,8,0,1,4,17,19,3,2,2,9
SH3PXD2A,37,1,4,43,78,59,38,42,31,43
SLK,1754,2023,1491,5480,7405,5874,6592,6792,3697,6440
COL17A1,45,0,137,23,44,15,10,9,12,16
SFR1,157,125,268,60,91,109,102,108,119,189
CFAP43,5,0,0,6,9,4,6,7,11,13
GSTO1,1964,2344,1827,599,848,668,620,733,1112,717
GSTO2,13,93,21,35,26,22,26,35,65,32
ITPRIP,4369,5031,2190,12811,13308,11504,15935,13017,11997,13104
CFAP58,206,111,83,455,387,225,220,268,229,275
SORCS3,0,0,0,0,0,3,0,0,0,1
SORCS1,0,0,0,0,0,0,0,0,0,0
XPNPEP1,49,164,116,48,106,79,31,44,37,84
ADD3,3306,4097,3393,5745,4409,5894,6723,6401,4551,6263
MXI1,743,1173,518,1211,1517,1834,1556,1637,1316,2598
SMNDC1,1383,1367,994,1618,1942,1587,1416,1544,1564,1647
DUSP5,68,17,15,68,230,73,128,98,94,69
SMC3,764,589,763,1115,1143,1230,1435,1270,1143,1649
RBM20,0,0,0,2,4,5,1,3,1,1
PDCD4,6365,3154,6414,3925,5180,3943,3222,3753,3168,4268
BBIP1,940,367,1057,871,879,864,660,865,967,891
SHOC2,4863,5971,6454,6825,7456,6600,6543,6286,5395,6184
ADRA2A,1,0,0,1,4,1,0,1,0,1
GPAM,4,0,0,6,14,7,1,7,2,10
TECTB,0,1,0,1,2,0,1,1,0,0
ACSL5,519,393,843,709,1263,924,814,671,497,728
ZDHHC6,1150,721,1334,1154,1612,1340,1073,1073,1358,1411
VTI1A,703,492,1073,684,819,887,812,820,664,905
TCF7L2,995,1842,896,1000,1521,989,1366,779,1080,1672
HABP2,0,0,0,0,0,0,0,0,0,0
NRAP,0,0,0,0,0,0,0,0,0,0
CASP7,37,240,59,26,162,69,65,68,36,63
PLEKHS1,0,0,0,0,0,0,0,0,0,0
DCLRE1A,19,44,65,11,23,18,25,17,10,22
NHLRC2,65,124,176,44,65,70,47,57,28,81
ADRB1,0,0,0,0,0,0,0,0,1,2
CCDC186,663,433,642,2142,2288,2320,1971,2376,903,2371
TDRD1,1,0,1,0,0,0,0,1,0,0
VWA2,0,0,0,0,0,0,0,0,0,0
AFAP1L2,1,0,0,0,9,8,0,3,1,1
ABLIM1,129,59,41,148,164,183,140,134,65,132
TRUB1,18,0,0,5,21,15,10,7,4,13
ATRNL1,0,0,0,0,0,0,0,0,0,0
GFRA1,0,0,0,0,0,0,0,0,0,0
CCDC172,0,0,0,0,0,0,0,0,0,0
PNLIPRP3,0,0,0,0,0,0,0,0,0,0
PNLIP,0,0,0,0,0,0,0,0,0,0
PNLIPRP1,0,0,0,0,0,0,0,0,0,0
PNLIPRP2,0,0,0,0,0,0,0,0,0,0
C10orf82,0,0,16,0,1,0,2,0,4,0
HSPA12A,0,0,0,0,1,1,0,1,0,0
ENO4,0,0,4,0,1,0,0,0,1,1
SHTN1,17,8,38,21,46,50,7,27,7,33
VAX1,0,0,0,0,0,0,0,0,0,0
KCNK18,0,0,0,0,0,0,0,0,0,0
SLC18A2,271,282,245,979,1062,1036,1206,498,703,573
PDZD8,1906,3415,518,2944,3735,4542,5088,2444,1553,2456
EMX2,0,0,0,0,0,0,1,3,0,0
RAB11FIP2,368,230,471,672,822,692,691,755,410,887
FAM204A,705,838,1364,439,434,454,580,362,626,603
PRLHR,0,0,0,0,1,0,0,0,0,0
CACUL1,14762,9102,21352,6072,4936,5888,5963,5530,4968,5403
NANOS1,59,8,28,49,68,63,56,60,61,61
EIF3A,831,920,808,1503,1576,2081,1531,1998,980,2245
SFXN4,21,0,34,12,22,41,34,30,16,27
PRDX3,2830,3953,6269,963,1409,1879,1471,1392,1675,1645
GRK5,186,252,268,522,724,981,1040,1180,863,1110
RGS10,214,433,260,137,291,131,78,56,230,121
TIAL1,2267,1067,1722,2002,2408,1982,1642,1805,1958,2201
BAG3,4,0,0,13,13,26,7,9,7,29
INPP5F,47,0,30,63,86,58,48,55,44,83
MCMBP,1248,1667,1526,3988,3356,3397,4138,3605,4276,2536
SEC23IP,334,386,282,435,634,600,470,641,329,676
RPL21,2878,3529,2472,1671,1866,1996,1677,1469,2256,2698
WDR11,41,174,248,318,211,317,442,155,77,230
FGFR2,4,0,52,44,64,81,86,151,57,112
ATE1,205,346,123,347,289,323,407,259,231,442
NSMCE4A,101,207,192,65,55,54,63,11,44,62
TACC2,0,0,1,0,0,0,0,0,0,0
BTBD16,0,0,0,0,0,0,0,0,0,0
PLEKHA1,42,0,0,19,25,46,23,18,9,38
ARMS2,0,0,0,0,0,0,0,0,0,0
HTRA1,0,13,1,1,3,0,0,0,0,1
DMBT1,0,0,0,0,0,0,0,0,0,0
C10orf120,0,0,0,0,0,0,0,0,0,0
CUZD1,0,0,0,0,0,0,0,0,0,0
FAM24B,6,0,1,12,0,1,3,1,4,4
FAM24A,0,0,0,0,0,0,0,0,0,0
C10orf88,22,56,21,5,26,31,21,15,18,33
PSTK,11,46,34,9,9,13,8,8,8,15
IKZF5,840,275,1004,1046,1171,1181,935,927,791,1171
ACADSB,135,91,141,195,171,237,155,177,110,262
HMX3,0,0,0,0,0,0,0,0,0,0
HMX2,0,0,0,0,0,0,0,0,0,0
BUB3,1307,768,2349,478,717,762,540,551,573,947
GPR26,0,0,0,0,0,1,0,0,0,0
CPXM2,5,13,0,5,2,5,6,13,2,6
CHST15,8407,7651,4342,21652,20742,24621,26285,25623,21845,28189
OAT,864,1005,500,1026,1130,1079,2516,753,777,1507
NKX1-2,0,0,0,0,0,0,0,0,0,0
LHPP,40,246,113,88,58,198,85,135,191,162
FAM53B,516,601,254,2438,3314,7082,4253,4806,3695,8623
ZRANB1,1272,1092,658,3486,3667,3854,4191,3260,3079,3921
CTBP2,1940,1887,894,3619,2968,3781,3663,3848,3959,3907
TEX36,0,0,0,0,0,0,0,0,0,0
EDRF1,215,396,207,348,397,396,326,374,254,485
MMP21,0,0,0,0,0,0,0,1,0,0
UROS,44,0,25,6,27,27,11,14,11,29
BCCIP,184,123,323,69,103,99,73,44,53,148
DHX32,4,0,8,10,18,20,6,3,6,31
FANK1,3,0,4,0,0,0,0,0,0,0
ADAM12,0,0,0,0,0,0,2,0,1,5
C10orf90,0,0,0,0,0,0,0,0,0,0
DOCK1,0,0,0,8,3,3,1,8,10,2
NPS,0,0,0,0,0,0,0,0,0,0
FOXI2,0,0,0,0,0,0,1,0,0,0
CLRN3,0,0,0,0,0,2,0,0,0,0
PTPRE,16947,15608,15304,27070,22511,20117,20069,17714,16490,21558
MKI67,1,0,0,16,65,14,10,6,3,20
MGMT,26,245,20,10,20,19,14,11,11,41
EBF3,0,0,0,0,0,0,0,0,0,0
GLRX3,238,199,314,74,108,155,102,85,84,179
TCERG1L,0,0,0,0,0,0,0,0,0,0
PPP2R2D,701,435,298,1551,1487,1781,1600,1502,1635,1908
BNIP3,132,120,60,143,153,127,149,123,152,158
JAKMIP3,17,0,0,10,11,39,18,32,13,20
DPYSL4,5,0,0,2,1,2,1,0,1,5
STK32C,15,0,0,4,25,22,23,16,26,28
LRRC27,39,10,15,14,38,26,22,25,27,22
PWWP2B,15,92,26,49,92,148,99,155,112,129
INPP5A,626,1010,353,1842,1409,2096,2241,2141,1796,2082
NKX6-2,0,0,0,0,0,0,0,0,0,0
CFAP46,24,28,0,10,2,7,0,0,2,2
ADGRA1,0,0,0,0,0,0,0,0,0,0
KNDC1,4,74,0,5,6,4,3,0,7,52
UTF1,0,0,2,1,1,4,10,2,2,2
VENTX,62,161,75,34,66,58,100,9,55,79
ADAM8,11153,19210,5587,49183,43575,60737,56793,51893,59748,57422
TUBGCP2,613,647,512,1293,1343,2565,1695,1849,1402,2427
ZNF511,124,226,181,105,134,186,153,101,190,211
CALY,0,0,0,0,0,0,0,0,0,1
PRAP1,0,0,0,0,1,1,0,0,0,0
FUOM,12,0,29,0,3,7,2,5,5,5
ECHS1,151,5,171,37,63,92,67,64,64,97
PAOX,1,0,1,5,9,9,4,3,4,14
MTG1,105,0,102,15,45,57,39,31,24,81
SPRN,3,54,0,5,13,7,10,8,6,13
SCART1,11,0,0,2,4,6,2,3,1,4
CYP2E1,0,0,0,3,1,1,1,0,1,2
SYCE1,0,0,0,0,1,0,1,0,0,0
FRG2B,0,0,0,0,0,0,0,0,0,0
SCGB1C1,7,0,3,2,2,0,0,0,0,2
ODF3,0,0,0,6,5,0,0,1,0,3
BET1L,856,796,384,1595,2172,1763,1409,2235,1532,3100
RIC8A,1342,1182,1151,1688,2027,2443,2239,2296,1897,2539
SIRT3,199,151,15,148,219,164,130,171,144,298
PSMD13,3117,5359,2786,1978,2192,2365,1876,2013,2456,2339
NLRP6,650,893,917,8952,3190,3499,4793,4117,3527,4274
IFITM5,1,0,0,54,43,11,13,28,8,23
IFITM2,352058,440707,394089,209594,181646,321082,284457,273684,451080,318827
IFITM1,141489,102512,169408,34000,41766,31562,34373,29290,73920,43371
IFITM3,73552,91716,60797,10580,36851,49278,33778,42085,80640,9023
B4GALNT4,0,0,14,2,0,1,2,0,3,0
PKP3,0,0,0,0,0,0,0,0,0,2
SIGIRR,337,403,333,340,269,591,517,463,495,437
ANO9,10,0,0,22,12,31,3,6,11,22
PTDSS2,0,139,19,53,56,54,58,59,70,123
RNH1,294,198,317,313,346,598,375,258,380,557
HRAS,11,12,37,35,30,40,40,16,30,53
LRRC56,7,2,6,5,4,6,0,2,2,4
LMNTD2,0,0,0,43,50,33,35,48,55,65
RASSF7,163,237,120,187,164,264,216,216,283,294
PHRF1,112,293,138,790,987,1031,988,1093,645,1133
IRF7,5035,4339,3974,7025,6122,5491,5913,5434,8732,4418
CDHR5,0,0,5,10,10,5,0,1,1,4
SCT,0,0,0,0,0,3,0,2,1,3
DRD4,0,0,0,12,10,12,5,9,15,16
DEAF1,135,183,45,261,312,352,276,313,383,322
TMEM80,345,220,750,267,278,321,323,399,604,307
EPS8L2,1,6,10,22,27,22,22,15,36,40
TALDO1,36138,47137,37305,32906,26628,48099,44012,42569,47874,39944
CEND1,0,0,0,1,4,2,1,1,0,3
SLC25A22,36,6,21,148,370,230,235,281,353,239
PIDD1,19,13,5,35,96,68,66,68,67,122
RPLP2,153,489,228,815,985,1764,1895,955,1434,1960
PNPLA2,993,2736,648,7432,5524,9993,12194,9670,10748,9387
CRACR2B,13,120,23,194,177,264,274,169,382,367
CD151,40,68,65,455,181,284,266,101,286,273
POLR2L,226,817,381,160,162,378,359,375,399,342
TSPAN4,22,0,60,3,13,15,2,1,2,19
CHID1,41,159,67,26,28,45,43,33,25,62
AP2A2,106,402,147,791,844,1163,1030,1188,696,1203
MUC6,0,0,0,7,4,3,2,3,3,4
MUC2,0,0,0,0,0,0,0,0,0,0
MUC5AC,0,0,0,0,0,0,0,0,0,0
MUC5B,6,0,0,3,11,8,8,5,2,6
TOLLIP,1064,3158,954,1874,1535,2902,2679,3812,2204,2477
BRSK2,0,0,3,3,1,7,3,6,3,3
MOB2,141,370,210,542,555,825,766,682,794,994
DUSP8,1,0,0,8,33,10,24,14,12,22
KRTAP5-1,0,0,0,0,0,0,0,0,0,0
KRTAP5-2,0,0,0,0,0,0,0,0,0,0
KRTAP5-3,0,0,0,0,0,0,0,0,0,0
KRTAP5-4,0,0,0,0,0,0,0,0,0,0
KRTAP5-5,0,0,0,0,0,0,0,0,0,0
KRTAP5-6,0,0,0,0,0,0,0,0,0,0
IFITM10,48,112,11,111,55,196,282,208,138,156
CTSD,3779,11254,2122,13098,10936,26404,22598,32754,25851,18516
SYT8,0,0,0,0,0,1,1,0,0,0
TNNI2,672,1423,619,721,668,946,835,668,1531,1157
LSP1,22148,53954,26186,51720,55836,65468,77242,67618,85463,64143
TNNT3,191,474,45,179,195,140,105,113,254,149
MRPL23,63,132,190,57,93,152,100,103,142,147
INS-IGF2,0,0,0,0,0,0,0,0,0,0
IGF2,0,0,0,0,0,0,0,0,0,0
INS,0,0,0,0,0,0,0,0,0,0
TH,0,0,0,0,0,0,0,0,0,0
ASCL2,44,73,116,147,159,327,235,222,304,281
C11orf21,335,563,487,1405,1421,1931,1807,1876,763,1544
TSPAN32,396,777,475,551,448,729,485,878,659,604
CD81,55,220,70,154,316,460,383,384,552,696
TSSC4,925,2443,977,577,567,899,810,795,859,909
TRPM5,0,0,0,0,1,1,2,0,0,0
KCNQ1,317,391,204,996,1302,1951,2039,1642,1788,2060
CDKN1C,34,23,37,92,112,156,101,79,140,206
SLC22A18,1199,1480,526,830,1323,2003,1515,1834,2248,3197
PHLDA2,6,0,1,1,2,1,4,0,4,3
NAP1L4,582,820,792,553,692,813,738,845,618,1019
OSBPL5,38,153,37,59,222,198,121,442,43,199
MRGPRG,0,0,0,0,0,0,0,0,0,0
MRGPRE,0,0,3,0,27,38,5,28,0,17
ZNF195,64,216,103,47,70,73,63,66,46,92
ART5,0,0,0,1,0,1,0,0,2,0
ART1,0,0,0,4,4,1,2,2,8,3
CHRNA10,51,227,72,145,128,145,136,173,202,134
NUP98,2681,3120,1740,8159,7288,8748,7825,9203,5551,6946
PGAP2,565,1114,337,1007,769,1003,1201,757,970,873
RHOG,8357,18993,9028,19258,18646,28910,30582,26227,39604,27653
STIM1,935,1297,913,2199,2778,3289,4130,3814,2766,3501
RRM1,24,54,46,32,50,42,50,34,23,48
OR52B4,1,0,0,5,2,2,5,6,3,4
TRIM21,7913,6450,10894,5561,8299,5786,5949,7478,9106,4249
OR52K2,427,136,248,143,151,219,226,136,128,201
OR52K1,231,144,173,84,103,172,158,113,74,110
OR52M1,0,0,0,0,0,0,0,0,2,0
OR52I2,1,0,0,1,0,1,0,0,1,0
OR52I1,1,0,0,4,2,4,0,0,0,0
TRIM68,42,31,53,40,52,67,80,94,54,79
OR51D1,0,0,0,0,0,0,0,0,0,0
OR51E1,0,0,1,2,0,0,1,0,0,0
OR51E2,0,0,0,0,0,0,0,0,0,0
OR51F1,0,0,0,0,0,0,0,0,0,0
OR52R1,0,0,0,0,0,0,0,0,0,0
OR51F2,0,0,0,0,0,0,0,0,0,0
OR51S1,0,0,0,0,0,0,0,0,0,0
OR51T1,0,0,0,0,0,0,0,0,0,0
OR51A7,0,0,0,0,0,0,0,0,0,0
OR51G2,0,0,0,0,0,0,0,0,0,0
OR51G1,0,0,0,0,0,0,0,0,0,0
OR51A4,0,0,0,0,0,0,0,0,0,0
OR51A2,0,0,0,0,0,0,0,0,0,0
MMP26,0,0,0,0,0,0,0,0,0,0
OR51L1,0,0,0,0,0,0,0,0,0,0
OR52J3,0,0,0,0,0,0,0,0,0,0
OR52E2,0,0,0,0,0,0,0,0,0,0
OR52A5,0,0,0,0,0,0,0,0,0,0
OR52A1,0,0,0,0,0,0,0,0,0,0
OR51V1,0,0,0,0,0,0,0,0,0,0
HBB,843,8511,4123,1665,3762,1683,13,222,1085,1962
HBD,0,45,0,0,1,1,0,0,0,0
HBG1,0,4,15,2,10,2,0,0,1,4
HBG2,0,21,53,2,2,6,0,0,0,15
HBE1,6,0,0,0,0,0,0,0,0,0
OR51B4,0,0,0,0,0,0,0,0,0,0
OR51B2,0,0,0,0,0,0,0,0,0,0
OR51B5,0,0,0,0,0,0,0,0,0,0
OR51B6,0,0,0,0,0,0,0,0,0,0
OR51M1,0,0,0,0,0,0,0,0,0,0
OR51Q1,0,0,0,0,0,0,0,0,0,0
OR51I1,0,0,0,0,0,0,0,0,0,0
OR51I2,0,0,0,0,0,0,0,0,0,0
OR52D1,0,0,0,0,0,0,0,0,0,0
UBQLN3,0,0,0,0,0,0,0,0,0,0
UBQLNL,50,48,24,26,21,16,26,24,20,9
OR52H1,0,0,0,0,0,0,0,0,0,0
OR52B6,0,0,0,1,0,0,0,0,0,0
TRIM6,279,1,15,59,58,64,147,52,107,44
TRIM6-TRIM34,0,0,0,0,0,0,0,0,0,0
TRIM34,4,0,9,5,10,1,1,2,0,4
TRIM5,4963,267,3378,953,1077,644,769,993,904,835
TRIM22,14675,3897,14912,11453,20352,5908,10877,7188,13796,6040
OR56B1,0,0,0,0,2,0,0,0,0,0
OR52N4,0,0,0,2,0,0,0,0,0,2
OR52N5,0,0,0,0,0,0,0,0,0,0
OR52N1,0,0,0,0,0,0,0,0,0,0
OR52N2,0,0,0,0,0,1,2,0,1,1
OR52E6,0,0,0,0,0,0,0,0,0,0
OR52E8,0,0,0,0,0,0,0,0,0,0
OR52E4,0,0,0,0,0,0,0,0,0,0
OR56A3,0,0,0,0,0,0,0,0,0,0
OR56A5,0,0,0,0,0,0,0,0,0,0
OR52L1,0,0,0,1,2,0,3,1,0,0
OR56A4,0,0,0,0,0,0,0,0,0,0
OR56A1,0,0,0,0,0,0,0,0,0,0
OR56B4,0,0,0,4,2,2,2,5,1,0
OR52B2,0,0,0,2,0,0,0,0,0,1
OR52W1,0,0,0,0,0,0,0,0,1,0
C11orf42,2,10,0,8,5,0,3,9,3,3
CNGA4,3,0,0,12,11,9,13,10,18,19
CCKBR,0,0,0,0,0,0,0,0,0,0
SMPD1,254,441,192,417,516,561,494,588,608,657
APBB1,1,72,15,25,31,55,13,19,23,28
HPX,2,0,11,1,8,8,5,7,12,3
TRIM3,67,51,79,79,112,135,73,104,109,138
ARFIP2,183,412,81,244,304,307,208,272,238,332
TIMM10B,421,180,195,83,200,218,103,101,89,214
DNHD1,35,45,10,76,186,163,38,74,62,126
RRP8,91,117,114,108,117,132,108,135,113,126
ILK,2779,3750,4793,2914,4051,4423,4398,4477,5092,4355
TAF10,374,467,216,2655,2949,4730,3803,3740,6658,4749
TPP1,2244,2082,2670,5164,7697,6979,5701,9105,6251,6156
DCHS1,1,0,0,16,5,12,8,6,7,17
MRPL17,78,40,59,21,17,30,23,22,28,34
OR2AG2,0,0,0,0,0,0,0,0,0,0
OR2AG1,0,0,0,0,3,0,0,0,0,0
OR6A2,0,0,1,0,0,0,0,0,0,0
OR10A5,0,0,0,0,0,0,0,0,0,0
OR10A2,0,0,0,0,0,0,0,0,0,0
OR10A4,0,0,0,0,0,0,0,0,0,0
OR2D2,0,0,0,0,0,0,0,0,0,0
OR2D3,0,0,0,0,0,0,0,0,0,0
ZNF215,1,0,1,0,0,0,0,0,0,0
ZNF214,0,0,0,0,0,0,0,0,0,0
NLRP14,0,0,0,0,0,0,0,0,0,0
RBMXL2,0,0,0,0,0,0,0,0,0,0
SYT9,0,0,0,0,0,0,0,0,0,0
OLFML1,32,0,0,0,4,0,2,3,4,3
PPFIBP2,67,58,272,641,242,374,171,530,205,143
CYB5R2,0,0,46,8,7,6,39,21,12,9
OVCH2,0,0,0,0,0,0,0,0,0,0
OR5P2,0,0,0,0,0,0,0,0,0,0
OR5P3,0,0,0,0,0,0,0,0,0,0
OR10A6,0,0,0,0,0,0,0,0,0,0
OR10A3,0,0,0,0,0,0,0,0,0,0
NLRP10,0,0,0,0,0,0,0,0,0,0
EIF3F,525,950,559,426,606,913,815,593,767,1166
TUB,0,0,0,0,0,0,2,0,0,0
RIC3,8,0,0,4,6,16,3,1,2,8
LMO1,0,0,0,0,1,0,0,0,0,0
STK33,0,0,0,6,3,3,5,4,3,0
TRIM66,71,11,29,229,272,327,148,295,143,337
RPL27A,2032,2261,1966,2569,2769,3567,3047,2372,3859,3607
AKIP1,7,4,15,4,16,16,3,1,5,5
C11orf16,0,0,0,0,0,0,0,0,0,0
ASCL3,0,0,0,0,0,0,0,0,0,0
TMEM9B,1092,1478,1496,636,720,842,718,836,825,1058
NRIP3,10,103,3,11,10,38,11,15,9,40
SCUBE2,0,0,0,4,12,7,3,5,8,9
DENND5A,7421,8653,4890,22212,22806,22085,21961,21314,15889,18791
TMEM41B,977,403,794,567,469,493,468,556,662,644
IPO7,32,0,7,90,169,178,102,91,54,201
ZNF143,790,438,1068,1217,1455,1671,1478,1463,1205,1846
WEE1,16,36,125,27,54,80,59,43,30,80
SWAP70,196,103,481,336,511,503,488,531,345,686
SBF2,838,427,711,2804,2391,2797,2330,2629,2379,2011
ADM,8739,12812,8924,11981,7934,6609,11126,4815,10435,3647
AMPD3,427,726,261,2369,2722,3044,3230,3011,2742,3844
RNF141,5860,7227,8636,6324,7860,8050,7239,7442,7169,9164
LYVE1,102,74,61,259,187,142,137,124,179,185
CTR9,534,867,649,1336,1492,1543,1573,1773,1224,1817
EIF4G2,7901,11978,10810,19336,20517,20334,23092,20710,17287,20211
ZBED5,683,396,483,919,1109,1068,978,1200,780,1128
GALNT18,0,0,0,0,0,0,0,0,0,0
CSNK2A3,3,0,0,9,9,12,9,13,5,6
USP47,515,419,408,586,612,605,666,514,345,646
DKK3,0,0,0,1,0,1,1,0,0,1
MICAL2,956,882,824,3560,6591,7577,5291,6529,5446,11351
PARVA,0,0,0,0,0,1,0,0,0,1
TEAD1,3,1,0,0,6,0,0,1,0,0
RASSF10,0,0,0,0,0,0,0,1,0,2
BTBD10,1356,1376,1939,1469,1220,1723,1403,1478,1408,1259
PTH,0,0,0,0,0,0,0,0,0,0
FAR1,3281,2887,3066,6529,6404,6137,5895,6250,4631,4417
SPON1,0,0,2,0,1,0,0,0,0,2
RRAS2,1,0,3,14,12,6,7,2,6,13
COPB1,1339,1715,2444,1625,1780,2005,1981,1592,1861,2442
PSMA1,1365,1502,1608,1072,1196,1053,853,977,1241,1130
PDE3B,802,844,795,2846,2893,3389,3279,2979,2170,2618
CYP2R1,58,55,44,115,109,149,121,103,56,109
CALCA,0,0,0,0,0,0,0,0,0,0
CALCB,0,0,0,0,0,0,0,0,0,0
INSC,8,264,71,212,81,52,110,108,208,16
SOX6,131,192,103,112,91,44,102,55,59,57
C11orf58,1902,1437,2174,929,1206,1213,1185,960,917,1762
PLEKHA7,0,0,13,16,32,37,37,34,42,29
RPS13,583,1197,717,501,666,967,723,503,800,1082
PIK3C2A,598,158,177,753,989,1096,795,914,568,1075
NUCB2,446,397,640,330,450,364,591,378,469,681
NCR3LG1,0,0,0,3,11,4,3,3,0,0
KCNJ11,0,0,0,0,0,0,1,0,0,0
ABCC8,0,0,0,0,0,0,0,0,0,0
USH1C,0,0,0,0,0,0,0,0,0,0
OTOG,0,0,0,0,0,0,0,0,0,0
MYOD1,0,0,0,0,0,0,0,0,0,0
KCNC1,0,0,0,0,0,0,0,0,0,0
SERGEF,23,11,19,20,28,19,17,14,22,38
TPH1,0,0,0,0,1,0,0,0,0,1
SAAL1,12,0,40,8,16,16,4,7,9,13
MRGPRX3,5,1,9,65,72,114,95,92,158,85
MRGPRX4,0,0,0,0,0,0,0,0,0,0
SAA4,0,0,0,0,0,0,0,0,0,0
SAA2-SAA4,0,0,0,0,0,0,0,0,0,0
SAA2,0,0,0,0,0,0,0,0,0,0
SAA1,0,0,1,0,0,0,0,0,0,0
HPS5,131,41,194,145,196,176,138,176,117,175
GTF2H1,440,383,478,515,627,596,483,596,481,600
LDHA,1558,3523,2483,2883,2288,2887,3620,2079,3185,2817
LDHC,2,0,1,0,2,1,0,0,0,0
LDHAL6A,63,83,46,45,27,27,11,23,33,37
TSG101,3950,3325,5133,2065,2095,2416,2183,2120,2298,2394
UEVLD,272,0,264,228,244,306,256,310,166,275
SPTY2D1,810,517,630,2201,2403,2220,2319,2070,1416,2463
TMEM86A,0,0,0,3,4,6,3,1,0,4
IGSF22,0,0,0,2,1,0,1,0,0,0
PTPN5,0,0,0,0,0,0,0,0,0,0
MRGPRX1,0,0,0,0,0,0,0,0,0,0
MRGPRX2,0,0,0,0,0,0,0,0,0,0
ZDHHC13,410,236,679,363,456,389,275,313,409,409
CSRP3,0,0,0,0,0,0,0,0,0,0
E2F8,1,0,0,1,5,1,1,1,1,2
NAV2,1,0,1,3,1,0,0,0,0,0
DBX1,0,0,0,0,0,0,0,0,0,0
HTATIP2,3866,3723,4137,2424,2276,2662,2414,2582,3103,2434
PRMT3,65,13,93,96,90,125,68,112,72,153
SLC6A5,0,0,0,0,0,0,0,0,0,0
NELL1,0,1,1,0,0,0,0,0,0,1
SLC17A6,0,0,0,0,0,0,0,0,0,0
FANCF,25,0,91,9,29,41,26,45,43,44
