Gene,PA1,PA2,PA3,PA4,PA5,HC06,HC07,HC1,HC15,HC23
PAX4,0,0,0,0,0,0,0,0,0,0
SND1,172,86,207,157,364,264,297,216,179,441
LRRC4,802,1104,495,6087,5514,7296,9651,8428,6489,5942
LEP,10,89,0,58,16,45,20,46,28,7
RBM28,148,44,135,210,142,252,181,165,103,187
PRRT4,0,0,2,37,43,19,24,36,31,44
IMPDH1,4034,7966,2799,13972,13393,21028,22318,21430,20307,19011
HILPDA,42,0,105,14,10,28,9,19,26,27
METTL2B,2,0,4,18,22,32,23,27,23,34
CALU,139,50,241,143,202,219,132,176,104,299
OPN1SW,0,0,0,0,0,0,0,0,0,0
CCDC136,0,5,12,5,10,7,10,5,12,9
FLNC,0,0,0,0,1,0,0,1,1,1
ATP6V1F,1540,2176,2494,543,704,872,760,815,1096,1187
KCP,0,0,0,0,3,2,0,0,0,0
IRF5,414,165,128,491,784,603,698,546,758,656
TNPO3,693,1337,594,2297,1252,1844,2095,2101,1536,1839
TSPAN33,75,0,50,45,151,33,4,1,31,34
SMO,0,0,0,0,0,0,2,0,0,0
AHCYL2,89,8,73,156,329,268,182,187,191,385
STRIP2,2,1,1,2,0,5,3,2,7,3
SMKR1,2,0,16,0,1,0,0,0,0,2
NRF1,457,327,305,565,606,785,683,722,588,833
UBE2H,1629,1570,1181,4235,4390,4271,3909,4403,3724,4393
ZC3HC1,15,219,60,14,15,28,13,24,13,37
KLHDC10,173,65,185,331,436,495,342,409,304,565
TMEM209,53,17,139,53,72,107,47,51,67,109
SSMEM1,0,0,0,0,0,1,0,0,0,0
CPA2,0,0,0,0,0,0,0,0,0,0
CPA4,0,0,1,0,1,0,0,0,0,0
CPA5,4,0,0,1,0,0,0,0,0,0
CPA1,0,0,0,0,0,0,0,0,0,0
CEP41,27,3,36,16,21,9,7,9,7,9
MEST,7,3,16,13,21,19,15,11,5,16
COPG2,7,0,108,118,141,160,110,81,108,156
TSGA13,13,3,13,9,8,9,10,4,17,8
KLF14,0,0,0,0,0,0,0,0,1,1
MKLN1,3700,2007,3049,4659,4876,3889,3795,3897,2548,3128
PODXL,41,39,30,75,86,52,72,65,23,49
PLXNA4,0,0,1,0,5,6,0,0,0,2
CHCHD3,116,27,141,41,80,113,87,61,59,143
EXOC4,206,84,132,267,340,416,394,395,329,454
LRGUK,2,11,0,0,1,0,0,0,0,1
SLC35B4,12,0,75,11,22,22,10,7,5,27
AKR1B1,73,104,44,10,36,38,8,5,8,36
