"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDCP1",36.3713319402212,-0.875013540749555,0.262945449647909,-3.32773790883706,0.000875541948007248,0.484420943420885
"OLR1",13.8391586805891,1.66162663913866,0.496139579136149,3.34911123605941,0.000810712401945093,0.484420943420885
"HBA2",4725.53154758219,1.59289434463715,0.478363093548248,3.32988553281125,0.000868816932508782,0.484420943420885
"PRKAR2B",1359.78457074126,0.661748756011184,0.199736089017683,3.31311561804236,0.000922628310814136,0.495004067968614
"CLDN4",3.93551542660956,-1.87153972193686,0.569138654831814,-3.28837218496417,0.00100768528322163,0.524737292336442
"PEAR1",193.529841343299,0.745102889822102,0.23298303788896,3.19809929758586,0.00138336637206739,0.544277813721179
"IL1RN",678.602139377449,-0.900238449595209,0.278150706970526,-3.23651325355288,0.00120999607418969,0.544277813721179
"MYO3B",13.2812894783166,1.42560160284314,0.445328659311845,3.20123480273219,0.00136839973711746,0.544277813721179
"PF4",1989.73523909163,0.773894494570089,0.237471515759005,3.2588939860706,0.00111847454739379,0.544277813721179
"SH3BGRL2",432.911768720863,0.75227927093802,0.233647543045469,3.21971830361435,0.00128316619454748,0.544277813721179
"MLXIPL",9.26218956440401,2.21669386063311,0.6860211541526,3.23123251697865,0.00123257627805709,0.544277813721179
"MLH3",631.015308148525,0.740476431112892,0.22875989296489,3.23691544665367,0.00120829206956459,0.544277813721179
"TMCO5A",1.20422804887428,-3.16133772789528,0.98509027213603,-3.20918581506278,0.00133111436621118,0.544277813721179
"PCSK6",305.847635869724,0.900546791654753,0.279869479809207,3.21773846962046,0.00129205570731647,0.544277813721179
"NT5M",279.178421631508,0.73484849486071,0.227618922094758,3.22841566991866,0.00124477954139731,0.544277813721179
"OR7D2",5.8175640271608,2.38543489688309,0.742121416738486,3.21434585106939,0.00130742093287651,0.544277813721179
"KCNE5",8.37667525872897,-0.909310660185477,0.285612340835862,-3.18372328564068,0.00145393929455788,0.559608591524939
"ZIM2",1.3960595526326,-2.82445632079237,0.889047459055689,-3.17694662081639,0.0014883442712885,0.560662453684318
"ITGB3",1780.32456675056,0.881122692195899,0.277923686908841,3.17037637919976,0.00152241597352213,0.561549475233527
"C19orf67",6.71436919347857,0.871760277360745,0.276000672994694,3.15854402781657,0.00158559356926247,0.572917023342695
"L1TD1",23.1969995761288,1.02714955516654,0.332463276039607,3.08951282500198,0.00200485050559147,0.59170506786035
"PHLDA3",19.0595165005283,0.845693043912892,0.271802193919061,3.11142832115891,0.00186184668254649,0.59170506786035
"CTDSPL",406.072083597656,0.813525984782187,0.263579812865298,3.08645027074944,0.00202561826037197,0.59170506786035
"GP9",699.156842804327,0.949612579468993,0.310226002365098,3.06103476894053,0.00220573479123316,0.59170506786035
"MED12L",55.8598492720216,0.604610097334191,0.194300689912933,3.11172388325085,0.00185998378201458,0.59170506786035
"FST",8.53451469331151,-1.49385326902534,0.478642209935835,-3.1210228392218,0.00180224055950383,0.59170506786035
"LY6G6F",137.02840216282,1.0194461551573,0.325272018562405,3.13413419224597,0.00172362012560399,0.59170506786035
